��ºм�
[�˻�����]
�ڷᱸ�� : ��
�ڷ����� : �⺻
����/���� : ����
�Ⱓ : 1977~2021 01~12

���,����,��ձ��(��),�������(��),�ְ����(��)
1985-02,146,1.4,-7.8,12.4
1985-03,146,5.2,-5.8,21.1
1985-04,146,12.6,-2.2,28.2
1985-05,146,18.8,8.3,30
1985-06,146,22.1,12.5,31.4
1985-07,146,25.9,18.7,35.1
1985-08,146,27,20.3,34.8
1985-09,146,21.4,8.2,31.6
1985-10,146,15.1,4.6,26.4
1985-11,146,7.6,-2.1,20.7
1985-12,146,-0.7,-10.4,14.7
1986-01,146,-2.7,-13.3,8.3
1986-02,146,-1.6,-10.4,9.2
1986-03,146,5.4,-5.4,19.5
1986-04,146,12.6,-0.4,28.2
1986-05,146,17,6.8,30.3
1986-06,146,22,13.7,32
1986-07,146,24.2,15.4,34.4
1986-08,146,25.6,18.1,35.5
1986-09,146,19.6,9.6,30.3
1986-10,146,13.1,-0.6,24.5
1986-11,146,6.6,-4.5,18.3
1986-12,146,3.5,-6.9,16
1987-01,146,-0.4,-10.4,11.4
1987-02,146,1.5,-9.8,18.4
1987-03,146,5.1,-7.4,17.7
1987-04,146,11.5,-1.8,26.4
1987-05,146,17.4,4,31.4
1987-06,146,22.3,11.9,32.7
1987-07,146,24.5,18.2,32.9
1987-08,146,25.3,18.3,32.4
1987-09,146,20,6.1,29.9
1987-10,146,16,1.7,29.2
1987-11,146,8.6,-6.5,23.8
1987-12,146,2.4,-9.8,18.5
1988-01,146,-0.2,-10.9,10.5
1988-02,146,-0.1,-9.7,14.9
1988-03,146,4.7,-7.1,17.9
1988-04,146,11.7,0,28.4
1988-05,146,17.9,5.9,29.9
1988-06,146,22.5,13.1,31.1
1988-07,146,26.2,18.8,37.8
1988-08,146,26.3,17.3,36.1
1988-09,146,21.3,9,31.6
1988-10,146,15,0.9,27.7
1988-11,146,6.5,-5.2,20.5
1988-12,146,1.8,-9.9,17.5
1989-01,146,1.6,-10.2,12.6
1989-02,146,3,-9.5,14.3
1989-03,146,6.4,-7.3,19.3
1989-04,146,13.8,1.3,30.3
1989-05,146,18.1,6,28.7
1989-06,146,21,12.8,31.4
1989-07,146,24.9,17.5,34.9
1989-08,146,25.6,17.8,34.6
1989-09,146,21.1,10.9,30.2
1989-10,146,14.1,1.2,26
1989-11,146,8,-2.8,21
1989-12,146,3,-5.3,17.9
1990-01,146,-0.9,-16,14.7
1990-02,146,3.6,-6.8,14.4
1990-03,146,7.4,-3.6,21.2
1990-04,146,11.8,0.6,26.6
1990-05,146,17.3,5.9,30.2
1990-06,146,22.6,13,31.9
1990-07,146,26.8,16.8,35.6
1990-08,146,27.3,19.9,36.2
1990-09,146,22.1,9.6,32
1990-10,146,15.1,5,26.1
1990-11,146,10.6,-1.8,21.6
1990-12,146,2.7,-10.3,18
1991-01,146,-0.1,-9,13.1
1991-02,146,0,-15.5,11
1991-03,146,5.8,-5.1,20.7
1991-04,146,12.7,-3.2,25.5
1991-05,146,17.9,4.1,32.8
1991-06,146,22.8,14.9,31.4
1991-07,146,25.4,17.6,34.2
1991-08,146,25.1,14.9,34.9
1991-09,146,21.4,9.2,32
1991-10,146,13.9,2.4,26.6
1991-11,146,7,-5.8,19.7
1991-12,146,3.5,-8.8,19.4
1992-01,146,1.2,-8,11.4
1992-02,146,1.6,-8.1,20.6
1992-03,146,7.6,-3.4,20.5
1992-04,146,12.5,0.9,25
1992-05,146,16.9,5.5,29.8
1992-06,146,21.3,8.5,31.2
1992-07,146,26.4,17.2,34.6
1992-08,146,25.8,17.5,34.3
1992-09,146,20.8,6.8,32.4
1992-10,146,14.1,3,25.8
1992-11,146,7.1,-8.4,21.3
1992-12,146,3.1,-8.8,17.4
1993-01,146,-1.2,-12.3,12
1993-02,146,1.9,-8.2,21.5
1993-03,146,5.8,-7.2,18.4
1993-04,146,11.7,-1,27.4
1993-05,146,17.9,7.7,30
1993-06,146,21.8,13.6,30.8
1993-07,146,23.9,13.8,31.4
1993-08,146,23.2,16,32.5
1993-09,146,20.9,10.4,30.6
1993-10,146,13.3,1.5,25.5
1993-11,146,9.4,-5.2,21.7
1993-12,146,1.7,-11.3,12
1994-01,146,-0.3,-13.3,12.6
1994-02,146,1.2,-10.4,12.8
1994-03,146,4.4,-6.2,18.9
1994-04,146,14.8,1.9,27.8
1994-05,146,18.6,4.9,30.6
1994-06,146,22.2,11.1,33
1994-07,146,29.4,23.2,38.2
1994-08,146,27.7,18,36.8
1994-09,146,21,9.6,33
1994-10,146,15.1,1.4,27.7
1994-11,146,9.9,-3.2,23
1994-12,146,3,-8.6,16.2
1995-01,146,-0.7,-10.8,12.9
1995-02,146,1,-9.5,13.3
1995-03,146,6.8,-4,21.3
1995-04,146,11.3,-2.3,28.5
1995-05,146,17.2,3.7,29.8
1995-06,146,22.2,13.2,32.7
1995-07,146,25.9,17,33.9
1995-08,146,27.3,19.6,35
1995-09,146,20.1,9.8,31
1995-10,146,15.3,5,28.2
1995-11,146,6.8,-5.2,21
1995-12,146,0.1,-9.9,10.1
1996-01,146,-0.4,-10.3,11.4
1996-02,146,-0.5,-11.2,19.4
1996-03,146,5.1,-4.4,16.9
1996-04,146,9.9,-2.7,26.6
1996-05,146,17.5,6.3,29.6
1996-06,146,22.2,14.3,32.4
1996-07,146,25.9,15.4,36
1996-08,146,26.7,18.8,36.3
1996-09,146,21.2,9,31
1996-10,146,14.6,-1.2,27.8
1996-11,146,7.8,-4.3,20.4
1996-12,146,2.2,-8.6,16.8
1997-01,146,-1.5,-13.8,12.8
1997-02,146,1.5,-8.7,16.5
1997-03,146,7,-4,21.4
1997-04,146,12.5,0.5,25.1
1997-05,146,18.2,4.9,31.2
1997-06,146,23.1,10.9,32.5
1997-07,146,25.8,17.2,35.3
1997-08,146,26.4,19.4,34.4
1997-09,146,20.9,8.2,34.1
1997-10,146,14.4,-0.8,28.1
1997-11,146,9.9,-2.5,23.8
1997-12,146,3.2,-9,16.5
1998-01,146,0.5,-12.2,11.3
1998-02,146,4.4,-6.6,16.6
1998-03,146,7.6,-1.8,22.2
1998-04,146,16.3,2.7,29.9
1998-05,146,19.2,9.1,32.5
1998-06,146,22,13.5,31.6
1998-07,146,26.2,20.5,33.8
1998-08,146,26.2,19.3,34.6
1998-09,146,23.2,12.8,33.8
1998-10,146,17.2,4.8,27.3
1998-11,146,9.1,-0.9,23.5
1998-12,146,3.2,-6.8,16.1
1999-01,146,1,-9.1,12.9
1999-02,146,2.1,-10.8,14
1999-03,146,7.5,-4,20.9
1999-04,146,13.4,-0.2,28.4
1999-05,146,17.7,6.5,30.5
1999-06,146,23.2,14.1,33.5
1999-07,146,25.5,15.9,34.3
1999-08,146,26.1,18.3,34.8
1999-09,146,23.6,13.5,32.5
1999-10,146,14.8,1.9,27.1
1999-11,146,8.9,-2,21.5
1999-12,146,2.3,-10.1,13.3
2000-01,146,0.8,-11,14.2
2000-02,146,0.2,-10.2,9.7
2000-03,146,6.9,-5.9,21
2000-04,146,12.8,-0.4,25.5
2000-05,146,18.2,5.6,33.2
2000-06,146,22.9,13.4,32.8
2000-07,146,26.9,19.7,34.9
2000-08,146,26.9,19.2,34.6
2000-09,146,20.8,11.8,31.1
2000-10,146,15.6,3.9,28.3
2000-11,146,8,-5.1,22.3
2000-12,146,2.7,-8.4,19.1
2001-01,146,-0.4,-12.5,10.3
2001-02,146,2,-8.8,16.5
2001-03,146,6.1,-5.2,24.5
2001-04,146,13.7,-0.1,28.9
2001-05,146,19.5,8.1,31.3
2001-06,146,23,12.7,32.7
2001-07,146,27,20.4,35
2001-08,146,26.7,16.7,36
2001-09,146,22.6,10.7,33
2001-10,146,16.8,6.8,27.1
2001-11,146,7.9,-0.2,18.6
2001-12,146,1.9,-7,14.9
2002-01,146,3.1,-9.7,18.3
2002-02,146,2.8,-6.2,13.6
2002-03,146,8.2,-4.2,24.7
2002-04,146,14.2,2.8,28.3
2002-05,146,17.6,7.9,28.9
2002-06,146,22.5,13.2,32.6
2002-07,146,25.9,18.6,36.2
2002-08,146,25.1,19.7,34.7
2002-09,146,21.5,12.1,32.5
2002-10,146,14,-0.2,27.5
2002-11,146,5.9,-4.4,21.1
2002-12,146,3.1,-8.3,14.6
2003-01,146,-1.4,-15.1,12.2
2003-02,146,3.1,-7.3,13.1
2003-03,146,6.5,-4.5,23.4
2003-04,146,13.4,2.7,28.2
2003-05,146,19.2,5.7,30.7
2003-06,146,21.9,12,31.7
2003-07,146,23.7,17.1,32.1
2003-08,146,24.7,16.8,33.7
2003-09,146,22.1,11.1,32.1
2003-10,146,14.5,2.7,27.5
2003-11,146,10.6,-4,24.4
2003-12,146,2.5,-7.6,13
2004-01,146,-0.6,-13.1,9.8
2004-02,146,3.6,-7.6,21.9
2004-03,146,7,-6.6,23.4
2004-04,146,13.5,-0.1,30.7
2004-05,146,18.5,6.9,28.9
2004-06,146,23.1,10.3,33.7
2004-07,146,26.9,19.5,36.5
2004-08,146,26.6,18.8,35.7
2004-09,146,22.3,12.2,32.2
2004-10,146,15.2,1.9,26.8
2004-11,146,9.9,-1,25.4
2004-12,146,4.1,-6.7,19.6
2005-01,146,-0.5,-9.5,11.3
2005-02,146,0.2,-9.9,14.9
2005-03,146,4.8,-6.9,21
2005-04,146,14.6,0.6,31.2
2005-05,146,18,6.4,29.9
2005-06,146,23.5,15.1,32.6
2005-07,146,26.2,19.3,34.6
2005-08,146,26.2,17.6,35.8
2005-09,146,23.3,13.5,33.2
2005-10,146,15.1,1.8,26.2
2005-11,146,9.4,-3.8,24.6
2005-12,146,-1.6,-15,15.1
2006-01,146,1.5,-9.2,16
2006-02,146,1.6,-13.1,15.9
2006-03,146,6.6,-7.7,20.5
2006-04,146,11.9,1.8,26.5
2006-05,146,18.9,9.2,31.8
2006-06,146,23.3,14,33.3
2006-07,146,25,18.9,34.4
2006-08,146,27.7,20.4,36.4
2006-09,146,20.9,11.6,31.9
2006-10,146,18.1,6.4,28.5
2006-11,146,10.3,-1,22.2
2006-12,146,3.1,-8.4,15.9
2007-01,146,1.6,-7.2,13.1
2007-02,146,4.8,-4.9,16.6
2007-03,146,7.6,-5,21.6
2007-04,146,11.8,-0.2,24.8
2007-05,146,18.6,9,29.2
2007-06,146,22.8,13.5,33.1
2007-07,146,24.9,19.6,32.8
2007-08,146,27.2,20,34.8
2007-09,146,22.2,12.5,32.3
2007-10,146,15.3,3.1,27.6
2007-11,146,7.4,-4.7,20.4
2007-12,146,3.4,-5.5,15.4
2008-01,146,0.2,-10.6,10.8
2008-02,146,-0.2,-10.3,14.5
2008-03,146,7.7,-3.6,21.1
2008-04,146,14,2.7,28.4
2008-05,146,18.5,7,32.6
2008-06,146,22.3,12.8,31.6
2008-07,146,27.2,21.5,35.1
2008-08,146,25.8,17.4,35.3
2008-09,146,22.7,7.2,33.8
2008-10,146,16.4,6.4,29.3
2008-11,146,8.5,-4.4,23.7
2008-12,146,3.1,-10.8,18
2009-01,146,-0.4,-12.9,13.7
2009-02,146,4.2,-6.6,19.1
2009-03,146,7,-4.5,24.4
2009-04,146,12.6,-1.3,29
2009-05,146,18.9,7.5,31.9
2009-06,146,22.9,12.1,34.4
2009-07,146,24.8,18.1,32.2
2009-08,146,25.7,17.1,34.1
2009-09,146,21.8,13.6,32.2
2009-10,146,16.3,6.5,28.2
2009-11,146,8.6,-4.4,24.6
2009-12,146,1.3,-10.1,11.7
2010-01,146,-0.8,-10.9,14
2010-02,146,3.2,-9.7,21.3
2010-03,146,6.3,-3.7,21.5
2010-04,146,10.3,-1.1,25.1
2010-05,146,18,3.6,32.1
2010-06,146,23.5,12.1,32.9
2010-07,146,26.5,19.6,35.1
2010-08,146,27.7,21.9,35.7
2010-09,146,23.2,7.9,34.5
2010-10,146,15,-1.6,25.3
2010-11,146,7.9,-3.2,18.8
2010-12,146,1.6,-10.3,17.6
2011-01,146,-4.9,-13.4,5.1
2011-02,146,2.1,-9.7,17.3
2011-03,146,4.5,-5.7,19.6
2011-04,146,11.7,0.3,26.1
2011-05,146,18.8,6.4,30.8
2011-06,146,23.4,13.2,33.6
2011-07,146,26.4,18.4,34.8
2011-08,146,26,16.5,36.2
2011-09,146,21.9,10.8,33.3
2011-10,146,14.2,0.6,26.3
2011-11,146,12.2,-1.1,28
2011-12,146,1.1,-9.3,11.4
2012-01,146,-0.9,-10.1,10.5
2012-02,146,-0.2,-11.6,13.9
2012-03,146,5.9,-5.8,21.7
2012-04,146,13.5,-1.3,31.1
2012-05,146,19.7,9.8,31.1
2012-06,146,23.7,14.4,33.1
2012-07,146,26.7,19.9,36
2012-08,146,27.7,17.9,38.3
2012-09,146,21.2,12.3,31.2
2012-10,146,15.2,3.1,27.1
2012-11,146,7.3,-2.4,19.2
2012-12,146,-0.9,-12.7,10.8
2013-01,146,-1.3,-15.3,14.1
2013-02,146,1.3,-11.7,20.5
2013-03,146,7,-4.2,28.2
2013-04,146,11,0.2,28.5
2013-05,146,18.9,5.2,32.3
2013-06,146,23.9,14,33.8
2013-07,146,27.8,21.8,35.9
2013-08,146,28.5,19.6,37.8
2013-09,146,22.4,9,33.4
2013-10,146,16.3,3.9,29.5
2013-11,146,8,-2.3,24.4
2013-12,146,2.2,-7.6,14.3
2014-01,146,1.1,-9.7,13.7
2014-02,146,3.6,-7.7,19.3
2014-03,146,8.3,-5.3,25.9
2014-04,146,14,0.4,27.2
2014-05,146,19.2,5.4,34.8
2014-06,146,23,14.6,32.1
2014-07,146,25.8,18.9,36
2014-08,146,24.5,17.1,33
2014-09,146,21.9,13,31.5
2014-10,146,15.9,3.3,30
2014-11,146,9.3,-1.4,19
2014-12,146,0.2,-8.7,10.7
2015-01,146,1,-9,13.2
2015-02,146,2.5,-10.1,13.3
2015-03,146,7.2,-5.7,23.4
2015-04,146,13.9,2.7,27.2
2015-05,146,19.2,4.9,33.2
2015-06,146,22.7,12.7,33.6
2015-07,146,25.1,17,34.2
2015-08,146,25.9,19.3,35.3
2015-09,146,21.6,13.7,31.7
2015-10,146,16.1,2.1,26.1
2015-11,146,10.9,-2.1,21.4
2015-12,146,4.4,-4.8,14.1
2016-01,146,-0.2,-13,14
2016-02,146,2.5,-7.9,21.9
2016-03,146,7.6,-6.1,22.9
2016-04,146,14.6,5.2,26.4
2016-05,146,19.2,9.6,30.1
2016-06,146,22.8,15.7,31.3
2016-07,146,26.5,20.4,34.5
2016-08,146,27.4,16.2,36.2
2016-09,146,22.6,13.9,32.5
2016-10,146,16.5,3.3,29.8
2016-11,146,8.6,-2.1,21.1
2016-12,146,3.8,-6.5,16.9
2017-01,146,0.8,-9.7,13.7
2017-02,146,1.9,-6.5,15.7
2017-03,146,6.5,-3,19.3
2017-04,146,14,1.6,28.7
2017-05,146,18.8,9.7,30.3
2017-06,146,22.3,11.5,33
2017-07,146,27.1,21.6,34.3
2017-08,146,26.2,16.3,35.1
2017-09,146,21.4,10.9,30.7
2017-10,146,16,2.4,28
2017-11,146,7.5,-3.1,22.1
2017-12,146,1,-9.4,14.1
2018-01,146,-1.5,-15,10.1
2018-02,146,0.4,-11.6,14.7
2018-03,146,9,-4.8,24.6
2018-04,146,14,0,28.4
2018-05,146,18.9,7.8,30.3
2018-06,146,23.1,15.2,34.8
2018-07,146,27.8,18.3,36.8
2018-08,146,28.6,19.8,38.9
2018-09,146,21.7,10.4,31
2018-10,146,13.9,4.4,26.7
2018-11,146,9.2,-0.6,19.5
2018-12,146,2,-9.6,19.6
2019-01,146,0.6,-7.4,9
2019-02,146,2.6,-6.4,15
2019-03,146,7.7,-1.7,22.7
2019-04,146,12.6,0.1,29
2019-05,146,18.9,5.6,32.4
2019-06,146,21.9,12.7,32.9
2019-07,146,25.6,18.9,34
2019-08,146,26.8,19.1,35.1
2019-09,146,22.7,12.6,31.8
2019-10,146,16.6,6.3,27.9
2019-11,146,9.8,-1.5,21.8
2019-12,146,4,-7.5,17.1
2020-01,146,3.5,-6.4,16.4
2020-02,146,4.2,-9.2,18.7
2020-03,146,8.4,-3,23.7
2020-04,146,10.9,0.3,27.1
2020-05,146,18.6,9.2,29.2
2020-06,146,23.4,13.5,35.1
2020-07,146,23.5,17.7,31.7
2020-08,146,27.7,22.7,34.6
2020-09,146,21.3,13.1,31.8
2020-10,146,14.9,4.7,26.1
2020-11,146,9.6,0.5,24.1
2020-12,146,1.7,-10,13.9
2021-01,146,0.5,-16.5,14.4
2021-02,146,4.3,-8.6,22.9
2021-03,146,9.5,-0.9,23.7
2021-04,146,14.4,2.4,28.6
2021-05,146,17.7,6.4,30.8
2021-06,146,23,14.2,33.6
2021-07,146,27.2,20.5,36.3
2021-08,146,25.9,19.4,34.6
2021-09,146,23,15.8,30.2
